[2026-08-18T21:56:18.435Z] GET http://localhost:4173/logos/seitc.png → 200 (5ms, 24571B)
[2026-08-18T21:56:18.435Z] GET http://localhost:4173/logos/federico.png → 200 (5ms, 31951B)
[2026-08-18T21:56:18.435Z] GET http://localhost:4173/projects/lere.jpg → 200 (5ms, 118995B)
[2026-08-18T21:56:18.435Z] GET http://localhost:4173/projects/mabe.jpg → 200 (6ms, 170426B)
[2026-08-18T21:56:18.435Z] GET http://localhost:4173/projects/trionda.jpg → 200 (6ms, 130780B)
[2026-08-18T21:56:18.435Z] GET http://localhost:4173/projects/eco.jpg → 200 (6ms, 52230B)
[2026-08-18T21:56:18.435Z] GET http://localhost:4173/projects/seitc-award.jpg → 200 (6ms, 136955B)
[2026-08-18T21:56:41.572Z] GET http://localhost:4173/ → 200 (1ms, 1006B)
[2026-08-18T21:56:41.577Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400..800&family=IBM+Plex+Mono:wght@400;500&family=Public+Sans:wght@400;500;600&display=swap → 200 (?ms, 9275B)
[2026-08-18T21:56:41.577Z] GET http://localhost:4173/assets/index-D2-mq1zg.js → 304 (?ms, ?B)
[2026-08-18T21:56:41.577Z] GET http://localhost:4173/assets/index-BHke5wo4.css → 304 (?ms, ?B)
[2026-08-18T21:56:41.579Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-08-18T21:56:41.579Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-08-18T21:56:41.580Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-08-18T21:56:41.580Z] GET https://fonts.gstatic.com/s/publicsans/v21/ijwRs572Xtc6ZYQws9YVwnNGfJ7QwOk1.woff2 → 200 (?ms, ?B)
[2026-08-18T21:56:41.582Z] GET http://localhost:4173/marcelo.jpg → 304 (7ms, ?B)
[2026-08-18T21:56:41.582Z] GET http://localhost:4173/logos/ibm.png → 304 (7ms, ?B)
[2026-08-18T21:56:41.582Z] GET http://localhost:4173/logos/tec.png → 304 (7ms, ?B)
[2026-08-18T21:56:41.582Z] GET http://localhost:4173/logos/nl.svg → 304 (7ms, ?B)
[2026-08-18T21:56:41.582Z] GET http://localhost:4173/logos/seitc.png → 304 (8ms, ?B)
[2026-08-18T21:56:41.582Z] GET http://localhost:4173/logos/federico.png → 304 (8ms, ?B)
[2026-08-18T21:56:41.582Z] GET http://localhost:4173/projects/lere.jpg → 304 (7ms, ?B)
[2026-08-18T21:56:41.583Z] GET http://localhost:4173/projects/mabe.jpg → 304 (6ms, ?B)
[2026-08-18T21:56:41.583Z] GET http://localhost:4173/projects/trionda.jpg → 304 (7ms, ?B)
[2026-08-18T21:56:41.583Z] GET http://localhost:4173/projects/eco.jpg → 304 (7ms, ?B)
[2026-08-18T21:56:41.583Z] GET http://localhost:4173/projects/seitc-award.jpg → 304 (7ms, ?B)
[2026-08-18T21:57:04.132Z] GET http://localhost:4173/ → 200 (1ms, 1006B)
[2026-08-18T21:57:04.136Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400..800&family=IBM+Plex+Mono:wght@400;500&family=Public+Sans:wght@400;500;600&display=swap → 200 (?ms, 9275B)
[2026-08-18T21:57:04.136Z] GET http://localhost:4173/assets/index-D2-mq1zg.js → 200 (3ms, 215007B)
[2026-08-18T21:57:04.136Z] GET http://localhost:4173/assets/index-BHke5wo4.css → 304 (1ms, ?B)
[2026-08-18T21:57:04.140Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-08-18T21:57:04.140Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-08-18T21:57:04.141Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (?ms, ?B)
[2026-08-18T21:57:04.141Z] GET https://fonts.gstatic.com/s/publicsans/v21/ijwRs572Xtc6ZYQws9YVwnNGfJ7QwOk1.woff2 → 200 (?ms, ?B)
[2026-08-18T21:57:04.147Z] GET http://localhost:4173/marcelo.jpg → 304 (3ms, ?B)
[2026-08-18T21:57:04.147Z] GET http://localhost:4173/logos/ibm.png → 304 (3ms, ?B)
[2026-08-18T21:57:04.147Z] GET http://localhost:4173/logos/tec.png → 304 (3ms, ?B)
[2026-08-18T21:57:04.148Z] GET http://localhost:4173/logos/nl.svg → 304 (2ms, ?B)
[2026-08-18T21:57:04.148Z] GET http://localhost:4173/logos/seitc.png → 304 (3ms, ?B)
[2026-08-18T21:57:04.148Z] GET http://localhost:4173/logos/federico.png → 304 (3ms, ?B)
[2026-08-18T21:57:04.148Z] GET http://localhost:4173/projects/lere.jpg → 304 (2ms, ?B)
[2026-08-18T21:57:04.148Z] GET http://localhost:4173/projects/mabe.jpg → 304 (2ms, ?B)
[2026-08-18T21:57:04.148Z] GET http://localhost:4173/projects/trionda.jpg → 304 (2ms, ?B)
[2026-08-18T21:57:04.149Z] GET http://localhost:4173/projects/eco.jpg → 304 (2ms, ?B)
[2026-08-18T21:57:04.149Z] GET http://localhost:4173/projects/seitc-award.jpg → 304 (2ms, ?B)
